,crn,date,subj,sub_num,course,location,section,description,instructor,credit
2822,18751,"2:10 - 4:00 PM, TR",DES,014,DES 014,CRUESS 210,001,Design Drawing,"Abplanalp, S",4.0
2823,18751,"1:10 - 2:00 PM, TR",DES,014,DES 014,CRUESS 210,001,Design Drawing,"Abplanalp, S",4.0
2824,18752,"4:10 - 5:00 PM, TR",DES,014,DES 014,CRUESS 210,002,Design Drawing,"Abplanalp, S",4.0
2825,18752,"5:10 - 7:00 PM, TR",DES,014,DES 014,CRUESS 210,002,Design Drawing,"Abplanalp, S",4.0
2826,18753,"2:10 - 4:00 PM, MW",DES,014,DES 014,CRUESS 220,003,Design Drawing,"Kelly, R",4.0
2827,18753,"1:10 - 2:00 PM, MW",DES,014,DES 014,CRUESS 220,003,Design Drawing,"Kelly, R",4.0
2828,18754,"2:10 - 4:00 PM, TR",DES,015,DES 015,ARTANX 107,001,Form & Color,"Chandon, M",4.0
2829,18754,"1:10 - 2:00 PM, TR",DES,015,DES 015,ARTANX 107,001,Form & Color,"Chandon, M",4.0
2830,18755,"5:40 - 7:30 PM, TR",DES,015,DES 015,ARTANX 107,002,Form & Color,"Chandon, M",4.0
2831,18755,"4:40 - 5:30 PM, TR",DES,015,DES 015,ARTANX 107,002,Form & Color,"Chandon, M",4.0
2832,18756,"10:00 - 11:50 AM, MW",DES,016,DES 016,SCC 2102,001,Graphics & The Computer,"Molloy, B",4.0
2833,18756,"9:00 - 9:50 AM, MW",DES,016,DES 016,SCC 2102,001,Graphics & The Computer,"Molloy, B",4.0
2834,18757,"1:40 - 2:30 PM, MW",DES,016,DES 016,SCC 2102,002,Graphics & The Computer,"Lechowick, M",4.0
2835,18757,"2:40 - 4:30 PM, MW",DES,016,DES 016,SCC 2102,002,Graphics & The Computer,"Lechowick, M",4.0
2836,18758,"4:40 - 5:30 PM, MW",DES,016,DES 016,SCC 2102,003,Graphics & The Computer,"Whelan, E",4.0
2837,18758,"5:40 - 7:30 PM, MW",DES,016,DES 016,SCC 2102,003,Graphics & The Computer,"Whelan, E",4.0
2838,18759,"5:10 - 6:00 PM, TR",DES,016,DES 016,SCC 2103,004,Graphics & The Computer,"Kang, H",4.0
2839,18759,"6:10 - 8:00 PM, TR",DES,016,DES 016,SCC 2103,004,Graphics & The Computer,"Kang, H",4.0
2840,18760,"9:00 - 9:50 AM, MW",DES,021,DES 021,CRUESS 120,001,Drafting & Perspective,"Lechowick, M",4.0
2841,18760,"10:00 - 11:50 AM, MW",DES,021,DES 021,CRUESS 120,001,Drafting & Perspective,"Lechowick, M",4.0
2842,18761,"1:10 - 2:00 PM, MW",DES,021,DES 021,CRUESS 120,002,Drafting & Perspective,"Marley, E",4.0
2843,18761,"2:10 - 4:00 PM, MW",DES,021,DES 021,CRUESS 120,002,Drafting & Perspective,"Marley, E",4.0
2844,44243,"9:00 - 10:20 AM, TR",DES,040C,DES 040C,CRUESS 1002,A01,Design Aesthetics/Exper,"Housefield, J",4.0
2845,44243,"9:00 - 9:50 AM, F",DES,040C,DES 040C,WICKSN 1038,A01,Design Aesthetics/Exper,"Housefield, J",4.0
2846,44244,"10:00 - 10:50 AM, F",DES,040C,DES 040C,TBA,A02,Design Aesthetics/Exper,"Housefield, J",4.0
2847,44244,"9:00 - 10:20 AM, TR",DES,040C,DES 040C,CRUESS 1002,A02,Design Aesthetics/Exper,"Housefield, J",4.0
2848,44245,"4:10 - 5:00 PM, R",DES,040C,DES 040C,TBA,A03,Design Aesthetics/Exper,"Housefield, J",4.0
2849,44245,"9:00 - 10:20 AM, TR",DES,040C,DES 040C,CRUESS 1002,A03,Design Aesthetics/Exper,"Housefield, J",4.0
2850,44246,"5:10 - 6:00 PM, R",DES,040C,DES 040C,TBA,A04,Design Aesthetics/Exper,"Housefield, J",4.0
2851,44246,"9:00 - 10:20 AM, TR",DES,040C,DES 040C,CRUESS 1002,A04,Design Aesthetics/Exper,"Housefield, J",4.0
2852,44247,"10:00 - 10:50 AM, F",DES,040C,DES 040C,TBA,A05,Design Aesthetics/Exper,"Housefield, J",4.0
2853,44247,"9:00 - 10:20 AM, TR",DES,040C,DES 040C,CRUESS 1002,A05,Design Aesthetics/Exper,"Housefield, J",4.0
2854,44248,"11:00 - 11:50 AM, F",DES,040C,DES 040C,TBA,A06,Design Aesthetics/Exper,"Housefield, J",4.0
2855,44248,"9:00 - 10:20 AM, TR",DES,040C,DES 040C,CRUESS 1002,A06,Design Aesthetics/Exper,"Housefield, J",4.0
2856,44249,"5:10 - 6:00 PM, W",DES,040C,DES 040C,TBA,A07,Design Aesthetics/Exper,"Housefield, J",4.0
2857,44249,"9:00 - 10:20 AM, TR",DES,040C,DES 040C,CRUESS 1002,A07,Design Aesthetics/Exper,"Housefield, J",4.0
2858,44250,"6:10 - 7:00 PM, W",DES,040C,DES 040C,TBA,A08,Design Aesthetics/Exper,"Housefield, J",4.0
2859,44250,"9:00 - 10:20 AM, TR",DES,040C,DES 040C,CRUESS 1002,A08,Design Aesthetics/Exper,"Housefield, J",4.0
2860,18762,"4:10 - 5:00 PM, MW",DES,050,DES 050,CRUESS 210,001,Intro to 3-D Design,"Kang, H",4.0
2861,18762,"5:10 - 7:00 PM, MW",DES,050,DES 050,CRUESS 210,001,Intro to 3-D Design,"Kang, H",4.0
2862,18763,"2:10 - 5:00 PM, TR",DES,051,DES 051,SCC 2103,001,CAD for Designers,"Pierre, J",4.0
2863,18764,"4:10 - 5:00 PM, MW",DES,077,DES 077,CRUESS 132,001,Intro to Fashion Design,"Zhang, A",4.0
2864,18764,"5:10 - 7:00 PM, MW",DES,077,DES 077,CRUESS 132,001,Intro to Fashion Design,"Zhang, A",4.0
2865,@,TBA,DES,099,DES 099,TBA,-,Special Study,The Staff,V
2866,@ Denotes consent of instructor required. Contact department for CRN.,,,,,,,,,
2867,18780,"1:10 - 4:00 PM, MW",DES,111,DES 111,CRUESS 207,001,Coding for Designers,"Bonomo, A",4.0
2868,18781,"1:10 - 4:00 PM, TR",DES,112,DES 112,CRUESS 256,001,UI/UX Design,"Fontecha, K",4.0
2869,18782,"9:00 - 11:50 AM, MW",DES,112,DES 112,CRUESS 220,002,UI/UX Design,"Marley, E",4.0
2870,18783,"1:10 - 4:00 PM, MW",DES,112,DES 112,CRUESS 256,003,UI/UX Design,"Mead, W",4.0
2871,18784,"9:00 - 11:50 AM, TR",DES,113,DES 113,CRUESS 220,001,Photo & Digital Imaging,"Molloy, B",4.0
2872,18785,"9:00 - 9:50 AM, MW",DES,115,DES 115,CRUESS 210,001,Letterforms & Type,"Snyder, B",4.0
2873,18785,"10:00 - 11:50 AM, MW",DES,115,DES 115,CRUESS 210,001,Letterforms & Type,"Snyder, B",4.0
2874,18787,"5:10 - 7:00 PM, MW",DES,115,DES 115,CRUESS 208,003,Letterforms & Type,"Rubin, M",4.0
2875,18787,"4:10 - 5:00 PM, MW",DES,115,DES 115,CRUESS 207,003,Letterforms & Type,"Rubin, M",4.0
2876,18788,"9:00 - 9:50 AM, MW",DES,116,DES 116,CRUESS 207,001,VisCom: Graphic Design,"Quarton, M",4.0
2877,18788,"10:00 - 11:50 AM, MW",DES,116,DES 116,CRUESS 208,001,VisCom: Graphic Design,"Quarton, M",4.0
2878,18789,"5:10 - 6:00 PM, TR",DES,117,DES 117,SCC 2102,001,Interactive Media I,"Bonomo, A",4.0
2879,18789,"6:10 - 8:00 PM, TR",DES,117,DES 117,SCC 2102,001,Interactive Media I,"Bonomo, A",4.0
2880,44251,"10:30 - 11:50 AM, TR",DES,127A,DES 127A,ARTANX 107,A01,Sustainable Design,"Ferguson, B",4.0
2881,44251,"5:10 - 6:00 PM, T",DES,127A,DES 127A,TBA,A01,Sustainable Design,"Ferguson, B",4.0
2882,44252,"6:10 - 7:00 PM, T",DES,127A,DES 127A,WELLMN 107,A02,Sustainable Design,"Ferguson, B",4.0
2883,44252,"10:30 - 11:50 AM, TR",DES,127A,DES 127A,ARTANX 107,A02,Sustainable Design,"Ferguson, B",4.0
2884,44253,"5:10 - 6:00 PM, R",DES,127A,DES 127A,TBA,A03,Sustainable Design,"Ferguson, B",4.0
2885,44253,"10:30 - 11:50 AM, TR",DES,127A,DES 127A,ARTANX 107,A03,Sustainable Design,"Ferguson, B",4.0
2886,44254,"6:10 - 7:00 PM, R",DES,127A,DES 127A,WELLMN 123,A04,Sustainable Design,"Ferguson, B",4.0
2887,44254,"10:30 - 11:50 AM, TR",DES,127A,DES 127A,ARTANX 107,A04,Sustainable Design,"Ferguson, B",4.0
2888,44434,"1:10 - 2:00 PM, MW",DES,134A,DES 134A,CRUESS 210,001,Intro Interior Design,"Snyder, B",4.0
2889,44434,"2:10 - 4:00 PM, MW",DES,134A,DES 134A,CRUESS 210,001,Intro Interior Design,"Snyder, B",4.0
2890,18792,"9:00 - 9:50 AM, TR",DES,134B,DES 134B,CRUESS 120,001,Intro Interior Design,"Kessler, M",4.0
2891,18792,"10:00 - 11:50 AM, TR",DES,134B,DES 134B,CRUESS 120,001,Intro Interior Design,"Kessler, M",4.0
2892,18796,"6:10 - 7:00 PM, R",DES,143,DES 143,HUNT 110,A01,History of Fashion,"Avila, S",4.0
2893,18796,"4:40 - 6:00 PM, TR",DES,143,DES 143,WELLMN 226,A01,History of Fashion,"Avila, S",4.0
2894,18797,"6:10 - 7:00 PM, R",DES,143,DES 143,WELLMN 27,A02,History of Fashion,"Avila, S",4.0
2895,18797,"4:40 - 6:00 PM, TR",DES,143,DES 143,WELLMN 226,A02,History of Fashion,"Avila, S",4.0
2896,18798,"7:10 - 8:00 PM, R",DES,143,DES 143,WELLMN 107,A03,History of Fashion,"Avila, S",4.0
2897,18798,"4:40 - 6:00 PM, TR",DES,143,DES 143,WELLMN 226,A03,History of Fashion,"Avila, S",4.0
2898,18799,"4:40 - 6:00 PM, TR",DES,143,DES 143,WELLMN 226,A04,History of Fashion,"Avila, S",4.0
2899,18799,"7:10 - 8:00 PM, R",DES,143,DES 143,WELLMN 101,A04,History of Fashion,"Avila, S",4.0
2900,44438,"4:10 - 5:00 PM, M",DES,145,DES 145,PHYSIC 148,A01,History Visual Comm,"Drew, G",4.0
2901,44438,"1:40 - 3:00 PM, TR",DES,145,DES 145,WELLMN 226,A01,History Visual Comm,"Drew, G",4.0
2902,44439,"1:40 - 3:00 PM, TR",DES,145,DES 145,WELLMN 226,A02,History Visual Comm,"Drew, G",4.0
2903,44439,"5:10 - 6:00 PM, M",DES,145,DES 145,BAINER 1060,A02,History Visual Comm,"Drew, G",4.0
2904,44440,"1:40 - 3:00 PM, TR",DES,145,DES 145,WELLMN 226,A03,History Visual Comm,"Drew, G",4.0
2905,44440,"4:10 - 5:00 PM, W",DES,145,DES 145,WELLMN 7,A03,History Visual Comm,"Drew, G",4.0
2906,44441,"1:40 - 3:00 PM, TR",DES,145,DES 145,WELLMN 226,A04,History Visual Comm,"Drew, G",4.0
2907,44441,"5:10 - 6:00 PM, W",DES,145,DES 145,TBA,A04,History Visual Comm,"Drew, G",4.0
2908,18800,"9:00 - 11:50 AM, TR",DES,150,DES 150,SCC 2103,001,CAD Presentations,"Pierre, J",4.0
2909,18801,"2:40 - 4:30 PM, MW",DES,151,DES 151,SCC 2103,001,Type in Motion,"Ishisaka-Nolfi, M",4.0
2910,18801,"1:40 - 2:30 PM, MW",DES,151,DES 151,SCC 2103,001,Type in Motion,"Ishisaka-Nolfi, M",4.0
2911,18802,"9:00 - 9:50 AM, MW",DES,151,DES 151,SCC 2103,002,Type in Motion,"Ishisaka-Nolfi, M",4.0
2912,18802,"10:00 - 11:50 AM, MW",DES,151,DES 151,SCC 2103,002,Type in Motion,"Ishisaka-Nolfi, M",4.0
2913,18803,"2:10 - 4:00 PM, MW",DES,154,DES 154,CRUESS 208,001,Message Campaign Design,"Quarton, M",4.0
2914,18803,"1:10 - 2:00 PM, MW",DES,154,DES 154,CRUESS 208,001,Message Campaign Design,"Quarton, M",4.0
2915,18804,"10:00 - 11:50 AM, TR",DES,155A,DES 155A,CRUESS 208,001,"Pattern, Form, & Surface","Verba, S",4.0
2916,18804,"9:00 - 9:50 AM, TR",DES,155A,DES 155A,CRUESS 207,001,"Pattern, Form, & Surface","Verba, S",4.0
2917,44436,"9:00 - 11:20 AM, TR",DES,157B,DES 157B,SCC 2102,001,Interactive Media III,"Drew, G",4.0
2918,44436,"11:30 - 11:50 AM, TR",DES,157B,DES 157B,SCC 2102,001,Interactive Media III,"Drew, G",4.0
2919,44437,"3:10 - 5:00 PM, TR",DES,157B,DES 157B,SCC 2102,002,Interactive Media III,"Mead, W",4.0
2920,44437,"2:10 - 3:00 PM, TR",DES,157B,DES 157B,SCC 2102,002,Interactive Media III,"Mead, W",4.0
2921,18807,"1:10 - 4:00 PM, TR",DES,161,DES 161,CRUESS 108,001,Screen & Digital Print,"Avila, S",4.0
2922,44443,"4:10 - 7:00 PM, TR",DES,165,DES 165,CRUESS 1105,001,Industrial Design,"Ferguson, B",4.0
2923,18808,"9:00 - 11:50 AM, TR",DES,167,DES 167,CRUESS 1105,001,Prototyping,"Maiorana, T",4.0
2924,18809,"9:00 - 11:50 AM, MW",DES,175,DES 175,CRUESS 132,001,Func Apparel Design,"Goncu Berk, G",4.0
2925,18810,"2:10 - 4:00 PM, MW",DES,179,DES 179,CRUESS 132,001,Signature Collection,"Goncu Berk, G",4.0
2926,18810,"1:10 - 2:00 PM, MW",DES,179,DES 179,CRUESS 132,001,Signature Collection,"Goncu Berk, G",4.0
2927,44444,"1:10 - 2:00 PM, TR",DES,180A,DES 180A,CRUESS 120,001,Adv Interior Design,"Kessler, M",4.0
2928,44444,"2:10 - 4:00 PM, TR",DES,180A,DES 180A,CRUESS 120,001,Adv Interior Design,"Kessler, M",4.0
2929,18812,"2:10 - 4:00 PM, TR",DES,185,DES 185,CRUESS 208,001,Exhibition Design,"Mcneil, T",4.0
2930,18812,"1:10 - 2:00 PM, TR",DES,185,DES 185,CRUESS 220,001,Exhibition Design,"Mcneil, T",4.0
2931,44445,"10:00 - 11:50 AM, TR",DES,186,DES 186,CRUESS 210,001,Environmental Graphics,"Mcneil, T",4.0
2932,44445,"9:00 - 9:50 AM, TR",DES,186,DES 186,CRUESS 210,001,Environmental Graphics,"Mcneil, T",4.0
2933,@,TBA,DES,192,DES 192,TBA,-,Internship,The Staff,V
2934,@ Denotes consent of instructor required. Contact department for CRN.,,,,,,,,,
2935,@,TBA,DES,197T,DES 197T,TBA,-,Tutor In Design,The Staff,V
2936,@ Denotes consent of instructor required. Contact department for CRN.,,,,,,,,,
2937,@,TBA,DES,198,DES 198,TBA,-,Directed Gp Study,The Staff,V
2938,@ Denotes consent of instructor required. Contact department for CRN.,,,,,,,,,
2939,@,TBA,DES,199,DES 199,TBA,-,Special Study,The Staff,V
2940,@ Denotes consent of instructor required. Contact department for CRN.,,,,,,,,,
2941,@,TBA,DES,290,DES 290,TBA,-,Seminar In Design,The Staff,4.0
2942,@ Denotes consent of instructor required. Contact department for CRN.,,,,,,,,,
2943,18990,"9:00 - 11:50 AM, MW",DES,290,DES 290,CRUESS 256,001,Seminar In Design,"Young, J",4.0
2944,@,TBA,DES,292,DES 292,TBA,-,Practicum in Design,The Staff,V
2945,@ Denotes consent of instructor required. Contact department for CRN.,,,,,,,,,
2946,@,TBA,DES,298,DES 298,TBA,-,Dir Group Study,The Staff,V
2947,@ Denotes consent of instructor required. Contact department for CRN.,,,,,,,,,
2948,@,TBA,DES,299,DES 299,TBA,-,Individual Focused Study,The Staff,V
2949,@ Denotes consent of instructor required. Contact department for CRN.,,,,,,,,,
2950,@,TBA,DES,299D,DES 299D,TBA,-,Project Concentration,The Staff,V
2951,@ Denotes consent of instructor required. Contact department for CRN.,,,,,,,,,
2952,@,TBA,DES,396,DES 396,TBA,-,Teaching Asst Train Prac,The Staff,V
2953,@ Denotes consent of instructor required. Contact department for CRN.,,,,,,,,,
2954,19126,"8:00 - 9:50 AM, MW",DRA,010,DRA 010,WYATT,001,Intro To Acting,4.0,
2955,19127,"8:00 - 9:50 AM, MW",DRA,010,DRA 010,WRIGHT 101,002,Intro To Acting,"Fletcher, J",4.0
2956,19128,"8:00 - 9:50 AM, MW",DRA,010,DRA 010,MONDAV,003,Intro To Acting,"Martinez-Campos, D",4.0
2957,19129,"8:00 - 9:50 AM, TR",DRA,010,DRA 010,MONDAV,004,Intro To Acting,4.0,
2958,19130,"8:00 - 9:50 AM, TR",DRA,010,DRA 010,WRIGHT 101,005,Intro To Acting,"Pintar, C",4.0
2959,19131,"12:10 - 1:20 PM, TR",DRA,014,DRA 014,MONDAV,001,Intro Contemporary Dance,4.0,
2960,19131,"1:30 - 2:00 PM, TR",DRA,014,DRA 014,MONDAV,001,Intro Contemporary Dance,4.0,
2961,19132,"10:00 - 11:50 AM, MW",DRA,021A,DRA 021A,WRIGHT 120,001,Fundamentals of Act,"Leavy, M",4.0
2962,19132,"9:00 - 9:50 AM, MW",DRA,021A,DRA 021A,WRIGHT 120,001,Fundamentals of Act,"Leavy, M",4.0
2963,44626,"10:00 - 11:50 AM, MW",DRA,024,DRA 024,WYATT,001,Vis Aspect Dram Art,"Morgan, M",4.0
2964,@,TBA,DRA,030,DRA 030,TBA,-,Theatre Lab,The Staff,V
2965,@ Denotes consent of instructor required. Contact department for CRN.,,,,,,,,,
2966,19155,"2:10 - 4:00 PM, MW",DRA,040A,DRA 040A,H GYM 185,001,Beginning Modern Dance,"Dragich, A",2.0
2967,19156,"12:10 - 2:00 PM, MW",DRA,040B,DRA 040B,H GYM 185,001,Intermed Modern Dance,2.0,
2968,19157,"10:00 - 11:50 AM, TR",DRA,042A,DRA 042A,H GYM 185,001,Beginning Ballet,"Carroll, S",2.0
2969,19158,"2:10 - 4:00 PM, TR",DRA,042A,DRA 042A,H GYM 185,002,Beginning Ballet,"Carroll, S",2.0
2970,19159,"12:10 - 2:00 PM, TR",DRA,042B,DRA 042B,H GYM 185,001,Intermediate Ballet,"Carroll, S",2.0
2971,@,TBA,DRA,098,DRA 098,TBA,-,Dir Group Study,The Staff,V
2972,@ Denotes consent of instructor required. Contact department for CRN.,,,,,,,,,
2973,@,TBA,DRA,099,DRA 099,TBA,-,Special Study Undgd,The Staff,V
2974,@ Denotes consent of instructor required. Contact department for CRN.,,,,,,,,,
2975,@,"12:10 - 2:00 PM, MW",DRA,111,DRA 111,WRIGHT 120,001,Presentation Com Collab,"Leavy, M",4.0
2976,@ Denotes consent of instructor required. Contact department for CRN.,,,,,,,,,
2977,44625,"2:10 - 4:00 PM, MW",DRA,124E,DRA 124E,ART 230,001,Costumes for Film,"Morgan, M",4.0
2978,44673,"2:10 - 4:00 PM, TR",DRA,126A,DRA 126A,ART 230,001,Topics Entertainment Eng,"Schmidt, S",4.0
2979,45232,"10:00 - 10:50 AM, MW",DRA,140A,DRA 140A,H GYM 185,001,Dance Composition I,"Grenke, D",4.0
2980,45232,"11:00 - 11:50 AM, MW",DRA,140A,DRA 140A,H GYM 185,001,Dance Composition I,"Grenke, D",4.0
2981,19204,"12:10 - 2:00 PM, MW",DRA,142,DRA 142,MONDAV,001,History of Modern Dance,"Cavanaugh, M",4.0
2982,19205,"4:10 - 6:00 PM, MW",DRA,145,DRA 145,H GYM 185,001,Directed Choreogrph Proj,"Grenke, D",4.0
2983,19205,"12:10 - 2:00 PM, F",DRA,145,DRA 145,H GYM 185,001,Directed Choreogrph Proj,"Grenke, D",4.0
2984,44624,"2:10 - 4:00 PM, MW",DRA,151,DRA 151,WRIGHT 120,001,Musical Hist Prac Prod,"Cooper, M",4.0
2985,45347,"12:10 - 2:00 PM, TR",DRA,155A,DRA 155A,REMOTE,001,Afram Dance & Culture,4.0,
2986,19209,"10:00 - 11:50 AM, TR",DRA,160A,DRA 160A,WRIGHT 115,001,Prin of Playwriting,"Rossini, J",4.0
2987,19211,"3:10 - 6:00 PM, T",DRA,175,DRA 175,ARTANX 103,001,Flm Prd,"Smith, A",4.0
2988,19211,"3:10 - 6:00 PM, R",DRA,175,DRA 175,WRIGHT 115,001,Flm Prd,"Smith, A",4.0
2989,@,TBA,DRA,180,DRA 180,TBA,-,Theatre Laboratory,The Staff,V
2990,@ Denotes consent of instructor required. Contact department for CRN.,,,,,,,,,
2991,@,TBA,DRA,180A,DRA 180A,TBA,-,Theatre Lab: Performance,The Staff,V
2992,@ Denotes consent of instructor required. Contact department for CRN.,,,,,,,,,
2993,@,TBA,DRA,180B,DRA 180B,TBA,-,Theatre Lab Design,The Staff,V
2994,@ Denotes consent of instructor required. Contact department for CRN.,,,,,,,,,
2995,@,TBA,DRA,180C,DRA 180C,TBA,-,Theatre Lab: Prod Team,The Staff,V
2996,@ Denotes consent of instructor required. Contact department for CRN.,,,,,,,,,
2997,@,TBA,DRA,180D,DRA 180D,TBA,-,Theatre Lab Crew,The Staff,V
2998,@ Denotes consent of instructor required. Contact department for CRN.,,,,,,,,,
2999,@,TBA,DRA,180E,DRA 180E,TBA,-,Scenic Lab,The Staff,V
3000,@ Denotes consent of instructor required. Contact department for CRN.,,,,,,,,,
3001,@,TBA,DRA,180F,DRA 180F,TBA,-,Costume Lab,The Staff,V
3002,@ Denotes consent of instructor required. Contact department for CRN.,,,,,,,,,
3003,@,TBA,DRA,180G,DRA 180G,TBA,-,Lighting/Sound Lab,The Staff,V
3004,@ Denotes consent of instructor required. Contact department for CRN.,,,,,,,,,
3005,@,TBA,DRA,192,DRA 192,TBA,-,Internships,The Staff,V
3006,@ Denotes consent of instructor required. Contact department for CRN.,,,,,,,,,
3007,@,TBA,DRA,194HA,DRA 194HA,TBA,-,Special Study for Honors,The Staff,3.0
3008,@ Denotes consent of instructor required. Contact department for CRN.,,,,,,,,,
3009,@,TBA,DRA,194HB,DRA 194HB,TBA,-,Special Study for Honors,The Staff,3.0
3010,@ Denotes consent of instructor required. Contact department for CRN.,,,,,,,,,
3011,19315,"1:10 - 2:00 PM, W",DRA,195,DRA 195,WRIGHT 101,001,Senior Capstone,"Cooper, M",2.0
3012,19315,TBA,DRA,195,DRA 195,TBA,001,Senior Capstone,"Cooper, M",2.0
3013,@,TBA,DRA,197T,DRA 197T,TBA,-,Tutoring,The Staff,V
3014,@ Denotes consent of instructor required. Contact department for CRN.,,,,,,,,,
3015,@,TBA,DRA,198,DRA 198,TBA,-,Directed Gp Study,The Staff,V
3016,@ Denotes consent of instructor required. Contact department for CRN.,,,,,,,,,
3017,@,TBA,DRA,199,DRA 199,TBA,-,Special Study,The Staff,V
3018,@ Denotes consent of instructor required. Contact department for CRN.,,,,,,,,,
3019,44880,TBA,DRA,255,DRA 255,TBA,001,Composition in the Arts,4.0,
3020,44880,"1:10 - 4:00 PM, TR",DRA,255,DRA 255,WRIGHT 120,001,Composition in the Arts,4.0,
3021,@,TBA,DRA,280,DRA 280,TBA,-,Theatre Lab,The Staff,V
3022,@ Denotes consent of instructor required. Contact department for CRN.,,,,,,,,,
3023,@,TBA,DRA,298,DRA 298,TBA,-,Group Study,The Staff,V
3024,@ Denotes consent of instructor required. Contact department for CRN.,,,,,,,,,
3025,@,TBA,DRA,299,DRA 299,TBA,-,Individual Study,The Staff,V
3026,@ Denotes consent of instructor required. Contact department for CRN.,,,,,,,,,
3027,@,TBA,DRA,299D,DRA 299D,TBA,-,Dissertation Research,The Staff,V
3028,@ Denotes consent of instructor required. Contact department for CRN.,,,,,,,,,
3029,@,TBA,DRA,396,DRA 396,TBA,-,Teaching Asst Train Prac,The Staff,V
3030,@ Denotes consent of instructor required. Contact department for CRN.,,,,,,,,,
3031,19650,"4:40 - 6:00 PM, TR",EAS,088,EAS 088,CHEM 179,A01,Korean Culture & Society,"Kim, K",4.0
3032,19650,"11:00 - 11:50 AM, R",EAS,088,EAS 088,WELLMN 3,A01,Korean Culture & Society,"Kim, K",4.0
3033,19651,"12:10 - 1:00 PM, R",EAS,088,EAS 088,OLSON 109,A02,Korean Culture & Society,"Kim, K",4.0
3034,19651,"4:40 - 6:00 PM, TR",EAS,088,EAS 088,CHEM 179,A02,Korean Culture & Society,"Kim, K",4.0
3035,19652,"1:10 - 2:00 PM, R",EAS,088,EAS 088,WELLMN 235,A03,Korean Culture & Society,"Kim, K",4.0
3036,19652,"4:40 - 6:00 PM, TR",EAS,088,EAS 088,CHEM 179,A03,Korean Culture & Society,"Kim, K",4.0
3037,19653,"2:10 - 3:00 PM, R",EAS,088,EAS 088,OLSON 151,A04,Korean Culture & Society,"Kim, K",4.0
3038,19653,"4:40 - 6:00 PM, TR",EAS,088,EAS 088,CHEM 179,A04,Korean Culture & Society,"Kim, K",4.0
3039,45476,"4:40 - 6:00 PM, TR",EAS,088,EAS 088,CHEM 179,A05,Korean Culture & Society,"Kim, K",4.0
3040,45476,"9:00 - 9:50 AM, R",EAS,088,EAS 088,OLSON 151,A05,Korean Culture & Society,"Kim, K",4.0
3041,45477,"4:40 - 6:00 PM, TR",EAS,088,EAS 088,CHEM 179,A06,Korean Culture & Society,"Kim, K",4.0
3042,45477,"10:00 - 10:50 AM, R",EAS,088,EAS 088,OLSON 117,A06,Korean Culture & Society,"Kim, K",4.0
3043,@,TBA,EAS,192,EAS 192,TBA,-,EAS Internship,The Staff,V
3044,@ Denotes consent of instructor required. Contact department for CRN.,,,,,,,,,
3045,@,TBA,EAS,194H,EAS 194H,TBA,-,Honors Program,The Staff,V
3046,@ Denotes consent of instructor required. Contact department for CRN.,,,,,,,,,
3047,@,TBA,EAS,196A,EAS 196A,TBA,001,Honors Seminar,"Wheeler, C",4.0
3048,@ Denotes consent of instructor required. Contact department for CRN.,,,,,,,,,
3049,@,TBA,EAS,196A,EAS 196A,TBA,001,Honors Seminar,"Wheeler, C",4.0
3050,@ Denotes consent of instructor required. Contact department for CRN.,,,,,,,,,
3051,@,TBA,EAS,198,EAS 198,TBA,-,Directed Grp Study,The Staff,V
3052,@ Denotes consent of instructor required. Contact department for CRN.,,,,,,,,,
3053,20986,"10:00 - 11:50 AM, MW",ECL,200BN,ECL 200BN,SOCSCI 90,A01,Principles of Ecology,"Holyoak, M",5.0
3054,20986,"12:10 - 1:00 PM, W",ECL,200BN,ECL 200BN,WICKSN 2120B,A01,Principles of Ecology,"Holyoak, M",5.0
3055,20987,"1:10 - 2:00 PM, W",ECL,200BN,ECL 200BN,WICKSN 2120B,A02,Principles of Ecology,"Holyoak, M",5.0
3056,20987,"10:00 - 11:50 AM, MW",ECL,200BN,ECL 200BN,SOCSCI 90,A02,Principles of Ecology,"Holyoak, M",5.0
3057,20988,"3:10 - 4:00 PM, W",ECL,200BN,ECL 200BN,WICKSN 2120B,A03,Principles of Ecology,"Holyoak, M",5.0
3058,20988,"10:00 - 11:50 AM, MW",ECL,200BN,ECL 200BN,SOCSCI 90,A03,Principles of Ecology,"Holyoak, M",5.0
3059,20989,"2:10 - 3:00 PM, MW",ECL,205,ECL 205,BRIGGS 158,001,Community Ecology,"Karban,Lawler",4.0
3060,20989,"3:10 - 4:00 PM, MW",ECL,205,ECL 205,BRIGGS 158,001,Community Ecology,"Karban,Lawler",4.0
3061,45577,"3:10 - 5:00 PM, W",ECL,212B,ECL 212B,HART 1130,001,Environ Policy Evaluatn,"Moore, F",4.0
3062,45577,"3:10 - 5:00 PM, M",ECL,212B,ECL 212B,HART 1130,001,Environ Policy Evaluatn,"Moore, F",4.0
3063,20990,"1:10 - 4:00 PM, R",ECL,216,ECL 216,BOWLEY 105,001,Ecology & Agriculture,"Gaudin,Williams",4.0
3064,45239,"10:30 - 11:50 AM, TR",ECL,231,ECL 231,GIEDT 1006,001,Math Method Pop Biol,"Schreiber, S",3.0
3065,20991,"3:40 - 5:00 PM, MW",ECL,243,ECL 243,STORER 2342,001,Ecological Genomics,"Ross-Ibarra,Whitehead",4.0
